Device mode,Time,AC voltage (V),AC frequency (Hz),Battery voltage (V),Battery capacity (%),Charging current (A),Battery discharge current (A),Output voltage (V),Output frequency (Hz),Output apparent power (VA),Output active power (Watt),Load percent (%),PV1 input voltage (V),PV1 input power (Watt)
BatteryMode,"2025-02-05 
01:06:19",0.0,0.0,48.90,57,0,2,220.0,50.0,198,63,3,0.0,0
BatteryMode,"2025-02-05 
01:23:26",0.0,0.0,49.00,58,0,2,220.1,50.0,176,30,3,0.0,0
BatteryMode,"2025-02-05 
01:23:56",0.0,0.0,49.00,58,0,1,219.3,50.0,197,51,3,0.0,0
BatteryMode,"2025-02-05 
01:24:26",0.0,0.0,49.00,58,0,1,219.9,50.0,198,25,3,0.0,0
BatteryMode,"2025-02-05 
01:24:56",0.0,0.0,49.00,58,0,0,220.3,50.0,176,18,3,0.0,0
BatteryMode,"2025-02-05 
01:25:27",0.0,0.0,49.00,58,0,1,219.8,50.0,197,48,3,0.0,0
BatteryMode,"2025-02-05 
01:25:57",0.0,0.0,49.00,58,0,1,220.9,50.0,176,53,3,0.0,0
BatteryMode,"2025-02-05 
01:26:27",0.0,0.0,49.00,58,0,1,219.6,50.0,175,53,3,0.0,0
BatteryMode,"2025-02-05 
01:26:58",0.0,0.0,49.10,59,0,1,220.3,50.0,176,27,3,0.0,0
BatteryMode,"2025-02-05 
01:27:28",0.0,0.0,49.10,59,0,0,221.0,50.0,176,21,3,0.0,0
BatteryMode,"2025-02-05 
01:27:58",0.0,0.0,49.10,59,0,0,221.2,50.0,176,8,3,0.0,0
BatteryMode,"2025-02-05 
01:28:29",0.0,0.0,49.10,59,0,0,219.7,50.0,175,41,3,0.0,0
BatteryMode,"2025-02-05 
01:28:59",0.0,0.0,49.10,59,0,1,219.7,50.0,175,16,3,0.0,0
BatteryMode,"2025-02-05 
01:29:29",0.0,0.0,49.10,59,0,1,220.1,50.0,176,46,3,0.0,0
BatteryMode,"2025-02-05 
01:30:00",0.0,0.0,49.10,59,0,1,219.9,50.0,175,45,3,0.0,0
BatteryMode,"2025-02-05 
01:30:30",0.0,0.0,49.10,59,0,1,219.6,50.0,175,30,3,0.0,0
BatteryMode,"2025-02-05 
01:31:00",0.0,0.0,49.10,59,0,1,220.2,50.0,176,18,3,0.0,0
BatteryMode,"2025-02-05 
01:31:31",0.0,0.0,49.10,59,0,0,219.9,50.0,175,41,3,0.0,0
BatteryMode,"2025-02-05 
01:32:01",0.0,0.0,49.10,59,0,0,220.3,50.0,176,21,3,0.0,0
BatteryMode,"2025-02-05 
01:32:31",0.0,0.0,49.10,59,0,1,219.6,50.0,175,32,3,0.0,0
BatteryMode,"2025-02-05 
01:33:02",0.0,0.0,49.00,58,0,1,219.0,50.0,175,21,3,0.0,0
BatteryMode,"2025-02-05 
01:33:32",0.0,0.0,49.00,58,0,1,220.3,50.0,175,35,3,0.0,0
BatteryMode,"2025-02-05 
01:34:02",0.0,0.0,49.00,58,0,1,219.5,50.0,198,52,3,0.0,0
BatteryMode,"2025-02-05 
01:34:33",0.0,0.0,48.90,57,0,1,219.9,50.0,197,41,3,0.0,0
BatteryMode,"2025-02-05 
01:35:03",0.0,0.0,48.90,57,0,2,220.4,50.0,198,39,3,0.0,0
BatteryMode,"2025-02-05 
01:35:33",0.0,0.0,49.00,58,0,1,220.1,50.0,198,8,3,0.0,0
BatteryMode,"2025-02-05 
01:36:04",0.0,0.0,49.00,58,0,1,220.2,50.0,198,18,3,0.0,0
BatteryMode,"2025-02-05 
01:36:34",0.0,0.0,48.90,57,0,1,220.5,50.0,198,39,3,0.0,0
BatteryMode,"2025-02-05 
01:37:04",0.0,0.0,48.90,57,0,1,220.8,50.0,198,41,3,0.0,0
BatteryMode,"2025-02-05 
01:37:35",0.0,0.0,48.90,57,0,0,220.8,50.0,198,11,3,0.0,0
BatteryMode,"2025-02-05 
01:38:05",0.0,0.0,48.90,57,0,1,219.6,50.0,197,35,3,0.0,0
BatteryMode,"2025-02-05 
01:38:35",0.0,0.0,48.90,57,0,1,220.1,50.0,198,25,3,0.0,0
BatteryMode,"2025-02-05 
01:39:06",0.0,0.0,48.90,57,0,1,219.5,50.0,198,40,3,0.0,0
BatteryMode,"2025-02-05 
01:39:36",0.0,0.0,49.00,58,0,1,220.1,50.0,176,26,3,0.0,0
BatteryMode,"2025-02-05 
01:40:06",0.0,0.0,49.00,58,0,0,219.7,49.9,196,15,3,0.0,0
BatteryMode,"2025-02-05 
01:40:37",0.0,0.0,49.00,58,0,1,220.5,50.0,198,28,3,0.0,0
BatteryMode,"2025-02-05 
01:41:07",0.0,0.0,49.00,58,0,1,220.0,50.0,176,35,3,0.0,0
BatteryMode,"2025-02-05 
01:41:37",0.0,0.0,49.00,58,0,1,219.3,50.0,175,30,3,0.0,0
BatteryMode,"2025-02-05 
01:42:08",0.0,0.0,49.00,58,0,1,219.6,50.0,175,27,3,0.0,0
BatteryMode,"2025-02-05 
01:42:38",0.0,0.0,49.00,58,0,1,219.6,50.0,175,38,3,0.0,0
BatteryMode,"2025-02-05 
01:43:08",0.0,0.0,49.00,58,0,0,219.4,50.0,175,15,3,0.0,0
BatteryMode,"2025-02-05 
01:43:39",0.0,0.0,49.00,58,0,1,221.2,50.0,176,38,3,0.0,0
BatteryMode,"2025-02-05 
01:44:09",0.0,0.0,49.00,58,0,0,219.7,50.0,175,44,3,0.0,0
BatteryMode,"2025-02-05 
01:44:39",0.0,0.0,49.00,58,0,1,220.2,50.0,175,19,3,0.0,0
BatteryMode,"2025-02-05 
01:45:10",0.0,0.0,49.00,58,0,1,221.2,50.0,176,9,3,0.0,0
BatteryMode,"2025-02-05 
01:45:40",0.0,0.0,49.00,58,0,1,219.5,50.0,174,38,3,0.0,0
BatteryMode,"2025-02-05 
01:46:10",0.0,0.0,49.00,58,0,1,220.4,50.0,176,29,3,0.0,0
BatteryMode,"2025-02-05 
01:46:41",0.0,0.0,49.00,58,0,1,220.9,50.0,176,30,3,0.0,0
BatteryMode,"2025-02-05 
01:47:11",0.0,0.0,49.00,58,0,1,219.9,50.0,175,32,3,0.0,0
BatteryMode,"2025-02-05 
01:47:41",0.0,0.0,49.00,58,0,1,219.7,50.0,175,24,3,0.0,0
BatteryMode,"2025-02-05 
01:48:12",0.0,0.0,49.00,58,0,1,221.2,50.0,176,33,3,0.0,0
BatteryMode,"2025-02-05 
01:48:42",0.0,0.0,49.00,58,0,1,220.2,50.0,176,43,3,0.0,0
BatteryMode,"2025-02-05 
01:49:12",0.0,0.0,49.00,58,0,0,221.4,50.0,177,21,3,0.0,0
BatteryMode,"2025-02-05 
01:49:43",0.0,0.0,49.00,58,0,1,220.2,50.0,197,41,3,0.0,0
BatteryMode,"2025-02-05 
01:50:13",0.0,0.0,48.90,57,0,1,222.2,50.0,199,50,3,0.0,0
BatteryMode,"2025-02-05 
01:50:43",0.0,0.0,48.90,57,0,1,219.3,50.0,198,38,3,0.0,0
BatteryMode,"2025-02-05 
01:51:14",0.0,0.0,48.90,57,0,1,219.8,50.0,175,50,3,0.0,0
BatteryMode,"2025-02-05 
01:51:44",0.0,0.0,48.90,57,0,1,219.5,50.0,197,39,3,0.0,0
BatteryMode,"2025-02-05 
01:52:14",0.0,0.0,48.90,57,0,1,219.6,50.0,198,41,3,0.0,0
BatteryMode,"2025-02-05 
01:52:45",0.0,0.0,48.90,57,0,1,219.8,50.0,197,41,3,0.0,0
